Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
65267081,06/14/2025 10:43:25 AM,06/14/2025 10:43:25 AM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10467.0,3530 ROCHAMBEAU AVENUE,ROCHAMBEAU AVENUE,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,07 BRONX,2033280075.0,BRONX,1017693.0,260760.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.88233674855886,-73.8790586069511,"(40.88233674855886, -73.8790586069511)"
65269207,06/14/2025 10:15:47 AM,06/14/2025 10:15:47 AM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,11226.0,179 LINDEN BOULEVARD,LINDEN BOULEVARD,,,,,ADDRESS,BROOKLYN,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,17 BROOKLYN,3050850090.0,BROOKLYN,997612.0,177018.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.65254011371671,-73.95184486671171,"(40.65254011371671, -73.95184486671171)"
65270293,06/14/2025 10:06:45 AM,06/14/2025 10:06:45 AM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10037.0,53 EAST  131 STREET,EAST  131 STREET,,,,,ADDRESS,NEW YORK,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,11 MANHATTAN,1017560030.0,MANHATTAN,1001583.0,234144.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.8093300190546,-73.93738668006867,"(40.8093300190546, -73.93738668006867)"
65269208,06/14/2025 09:51:26 AM,06/14/2025 09:51:26 AM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,11216.0,32 ROGERS AVENUE,ROGERS AVENUE,,,,,ADDRESS,BROOKLYN,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,08 BROOKLYN,3012180005.0,BROOKLYN,997357.0,185454.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.67569544210125,-73.95274745767762,"(40.67569544210125, -73.95274745767762)"
65263779,06/14/2025 09:14:36 AM,06/14/2025 09:14:36 AM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10310.0,240 BROADWAY,BROADWAY,,,,,ADDRESS,STATEN ISLAND,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,01 STATEN ISLAND,5001960001.0,STATEN ISLAND,951636.0,171107.0,UNKNOWN,Unspecified,STATEN ISLAND,,,,,,,,40.636265729991166,-74.11750852358752,"(40.636265729991166, -74.11750852358752)"
65270291,06/14/2025 07:25:22 AM,06/14/2025 07:25:22 AM,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10456.0,984 SHERIDAN AVENUE,SHERIDAN AVENUE,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,04 BRONX,2024550018.0,BRONX,1006505.0,241387.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.829198978494375,-73.919582552466,"(40.829198978494375, -73.919582552466)"
65264894,06/14/2025 12:50:02 AM,06/14/2025 12:50:02 AM,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10451.0,341 EAST  162 STREET,EAST  162 STREET,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-14,03 BRONX,2024097501.0,BRONX,1007831.0,239949.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.825248639786615,-73.91479616785949,"(40.825248639786615, -73.91479616785949)"
65266019,06/13/2025 11:43:21 PM,06/13/2025 11:43:21 PM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10039.0,247 WEST  145 STREET,WEST  145 STREET,,,,,ADDRESS,NEW YORK,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-13,10 MANHATTAN,1020310007.0,MANHATTAN,1000726.0,238846.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.82223732910795,-73.94047094277528,"(40.822237329107956, -73.94047094277528)"
65258712,06/13/2025 07:37:19 PM,06/13/2025 07:37:19 PM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10034.0,5000 BROADWAY,BROADWAY,,,,,ADDRESS,NEW YORK,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-13,12 MANHATTAN,1022300001.0,MANHATTAN,1006817.0,255719.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.8685352762629,-73.91840691672459,"(40.8685352762629, -73.91840691672459)"
65261338,06/13/2025 07:19:16 PM,06/13/2025 07:19:16 PM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10470.0,4769 WHITE PLAINS ROAD,WHITE PLAINS ROAD,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-13,12 BRONX,2051070003.0,BRONX,1025843.0,269117.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.90523937837374,-73.84953354331522,"(40.90523937837374, -73.84953354331522)"
65260048,06/13/2025 07:12:50 PM,06/13/2025 07:12:50 PM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10452.0,85 MCCLELLAN STREET,MCCLELLAN STREET,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-13,04 BRONX,2024790001.0,BRONX,1006114.0,243050.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.833764410623225,-73.92098999262167,"(40.833764410623225, -73.92098999262167)"
65253726,06/13/2025 07:06:41 PM,06/13/2025 07:06:41 PM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10457.0,2031 HUGHES AVENUE,HUGHES AVENUE,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-13,06 BRONX,2030690093.0,BRONX,1014383.0,248211.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.84790549784514,-73.89108511814386,"(40.84790549784514, -73.89108511814386)"
65255029,06/13/2025 06:33:06 PM,06/13/2025 06:33:06 PM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,11210.0,2054 NOSTRAND AVENUE,NOSTRAND AVENUE,,,,,ADDRESS,BROOKLYN,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-13,14 BROOKLYN,3052520051.0,BROOKLYN,998703.0,170747.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.63532585816683,-73.94792646218312,"(40.63532585816683, -73.94792646218312)"
65257511,06/13/2025 06:20:43 PM,06/13/2025 06:20:43 PM,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10468.0,3054 VILLA AVENUE,VILLA AVENUE,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-13,07 BRONX,2033100010.0,BRONX,1015191.0,257658.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.873831852493794,-73.88812101691687,"(40.873831852493794, -73.88812101691687)"
65260046,06/13/2025 06:02:21 PM,06/13/2025 06:02:21 PM,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10006.0,123 WASHINGTON STREET,WASHINGTON STREET,,,,,ADDRESS,NEW YORK,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-13,01 MANHATTAN,1000537502.0,MANHATTAN,980363.0,197635.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.70913832188969,-74.01402020081578,"(40.70913832188969, -74.01402020081578)"
65258713,06/13/2025 05:41:15 PM,06/13/2025 05:41:15 PM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10040.0,374 WADSWORTH AVENUE,WADSWORTH AVENUE,,,,,ADDRESS,NEW YORK,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-13,12 MANHATTAN,1021700260.0,MANHATTAN,1003662.0,251356.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.856567664593555,-73.92982674386413,"(40.856567664593555, -73.92982674386413)"
65256256,06/13/2025 05:35:04 PM,06/13/2025 05:35:04 PM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,11374.0,98-41 QUEENS BOULEVARD,QUEENS BOULEVARD,,,,,ADDRESS,REGO PARK,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-13,06 QUEENS,4021040001.0,QUEENS,1023982.0,204562.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.72806289204952,-73.85664804250655,"(40.72806289204952, -73.85664804250655)"
65261339,06/13/2025 04:40:10 PM,06/13/2025 04:40:10 PM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10472.0,2010 POWELL AVENUE,POWELL AVENUE,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-13,09 BRONX,2038010001.0,BRONX,1024038.0,241876.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.830479560431925,-73.85622502935952,"(40.830479560431925, -73.85622502935952)"
65261347,06/13/2025 03:47:53 PM,06/13/2025 03:47:53 PM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,11372.0,35-05 94 STREET,94 STREET,,,,,ADDRESS,JACKSON HEIGHTS,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-13,03 QUEENS,4014680001.0,QUEENS,1019311.0,213493.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.75259598918735,-73.87345430633093,"(40.75259598918735, -73.87345430633093)"
65253728,06/13/2025 03:41:52 PM,06/13/2025 03:41:52 PM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10030.0,117 WEST  141 STREET,WEST  141 STREET,,,,,ADDRESS,NEW YORK,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-13,10 MANHATTAN,1020100018.0,MANHATTAN,1001210.0,237368.0,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.81817972089657,-73.93872594945869,"(40.81817972089657, -73.93872594945869)"
65253733,06/13/2025 03:29:46 PM,06/13/2025 03:29:46 PM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,11235.0,3232 SHORE PARKWAY,SHORE PARKWAY,,,,,ADDRESS,BROOKLYN,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-13,15 BROOKLYN,3087650019.0,BROOKLYN,996399.0,152362.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.58486627676468,-73.95626074893555,"(40.58486627676468, -73.95626074893555)"
65260045,06/13/2025 03:29:27 PM,06/13/2025 03:29:27 PM,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10462.0,900 LYDIG AVENUE,LYDIG AVENUE,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-13,11 BRONX,2042980022.0,BRONX,1022466.0,250582.0,UNKNOWN,Unspecified,BRONX,,,,,,,,40.85438189777797,-73.86185587000068,"(40.85438189777797, -73.86185587000068)"
65261335,06/13/2025 03:04:56 PM,06/13/2025 03:04:56 PM,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,11373.0,91-40 LAMONT AVENUE,LAMONT AVENUE,,,,,ADDRESS,ELMHURST,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2025-06-13,04 QUEENS,4015770001.0,QUEENS,1019146.0,210414.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.744145570561265,-73.87406581678226,"(40.744145570561265, -73.87406581678226)"
